tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42049010304,0.147949416,0.132106102,0.199617351,0.108465478,0.190967918,1,-0.039483938,0.058861816,0.800382649,606.1364235,0.014770723,3.9,2,6.4,-0.098591549,56.3,0.256696429,92029,0.179375128
1400000US42049010400,-0.01243832,0.034472892,0.060529778,0.108373348,0.122706224,1,0.120811668,0.088233332,0.939470222,1483.096687,-0.167394192,2.4,-0.489361702,3.6,-0.052631579,35.2,0.364341085,58410,0.193599804
1400000US42049010500,-0.154013503,-0.102986575,-0.101791591,0.01253324,0.014396016,1,0.166546743,0.117382591,1.101791591,2473.265074,-0.04857768,10.6,0.962962963,4.8,-0.428571429,24.2,-0.058365759,45083,0.038874551
1400000US42049010700,-0.23310972,-0.177969364,-0.166035959,-0.033460285,-0.007435077,1,0.199649435,0.170534287,1.166035959,3682.207422,-0.055175781,11.1,0.233333333,11.8,2.189189189,29.6,0.024221453,39722,-0.242929023
1400000US42049010800,-0.156114053,-0.104658078,-0.097926085,0.033854507,0.050385278,1,0.18996856,0.155043356,1.097926085,2459.190445,0.056442418,3.6,0.161290323,4.6,-0.178571429,29.8,0.354545455,51391,0.004495612
1400000US42049010902,-0.039655172,-0.016666667,-0.008830022,0.014060503,0.07330746,1,0.053715675,0.089974127,1.008830022,2320.559296,0.074065197,7.4,-0.139534884,5.2,-0.133333333,35.7,0.017094017,53021,-0.07218353
1400000US42049010903,-0.046562641,-0.032363737,0.033052696,0.016907872,0.083689652,0.511755337,0.063470513,0.116053389,0.478702641,1922.126437,0.015022762,6.4,-0.457627119,8.3,0.202898551,40.3,-0.035885167,66250,0.131956191
1400000US42049010904,0.172957628,0.158348307,0.212807058,0.1761462,0.243165749,1,0.003188572,0.084817442,0.787192942,1182.656827,0.080033699,6.2,-0.126760563,3.2,-0.03030303,57.3,0.083175803,111227,0.004542827
1400000US42049011001,-0.077292043,-0.065511911,0.02930317,-0.019948501,0.063539729,0.076866138,0.057343542,0.12905164,0.047562968,3521.717424,0.073995128,13.6,0.333333333,4.4,0.222222222,45.1,0.071258907,51130,0.079170096
1400000US42049011002,-0.111804938,-0.10004289,-0.058502757,-0.013109522,0.030148324,0.0528232,0.098695416,0.130191214,0.111325957,1903.003247,0.219505852,10.8,2.272727273,9.8,0.96,38,0.402214022,39859,-0.050817993
1400000US42049011101,-0.164826838,-0.130573757,-0.071447024,0.041513206,0.05594213,0.075809151,0.206340044,0.186515887,0.147256175,1430.222479,-0.006024096,4.9,-0.371794872,5.4,-0.386363636,34.1,0.068965517,62348,0.004268479
1400000US42049011102,-0.035945642,-0.035236343,0.049383408,0.003412562,0.063559888,0.099848585,0.039358204,0.098796231,0.050465177,1089.675711,0.038801262,7.8,-0.103448276,6.9,0.533333333,45.1,0.588028169,67222,0.101313936
